Well_ID,Well_Name,lat_dec,long_dec
382544111392401, (D-27- 2)26ddc- 1,38.4288678,-111.6574068
382551112555101, (C-27-10)25cbd- 1,38.43080056,-112.9316202
382615111534001, (C-27- 1)27abc- 2,38.43747975,-111.8951907
382618109213201, (D-27-23)23caa- 1,38.4393333,-109.3590556
382803112140201, (C-27- 3)17bcb- 1,38.46747568,-112.234647
382814112550101, (C-27-10)12ddd- 1,38.4705226,-112.9177312
382849109255901, (D-27-23) 6cad- 1,38.48025,-109.4331667
382913109273401, (D-26-22) 1bbc- 1,38.4868333,-109.4593333
382924112592901, (C-28-10) 5add- 1,38.48996528,-112.9921783
382925109260401, (D-27-23) 6baa- 1,38.4903833,-109.4346333
382929109272101, (D-26-22)36ccd- 1,38.49141667,-109.4557222
382934109250101, (D-26-23)32cdb- 1,38.49263889,-109.4170833
382936109280501, (D-26-22)35dcb- 1,38.493475,-109.4682472
383024109283801, (D-26-22)26ccc- 2,38.50655556,-109.4772778
383030109274901, (D-26-22)26dba- 1 formerly (D-26-22)26ddb- 1,38.51202778,-109.4646389
383043109282401, (D-26-22)26cba- 1,38.51244444,-109.474
383048109275301, (D-26-22)26acd- 2,38.51319444,-109.4648056
383051109275301, (D-26-22)26acd- 3,38.5139722,-109.4652222
383051109280901, (D-26-22)26acc- 1,38.51405556,-109.4691667
383109109285501, (D-26-22)22ddc- 2 formerly (D-26-22)27aaa- 1,38.5199722,-109.4816667
383113109281201, (D-26-22)23cdd- 1,38.5206111,-109.4705278
383115111512501, (C-26- 1)25acc- 1,38.52081096,-111.8576898
383117112551401, (C-26-10)25dab- 1,38.5213552,-112.9213427
383118109283301, (D-26-22)23ccb- 2,38.52213889,-109.4760833
383127109302601, (D-26-22)20dL71- 1,38.52425,-109.5073056
383129109284001, (D-26-22)22dad- 1,38.52488889,-109.4786667
383131113214301, (C-26-14)25aad- 1   Wah Wah MX Well,38.5252369,-113.3627444
383133109293901, (D-26-22)22cab- 1,38.5245833,-109.4905833
383141109304401, (D-26-22)20dL86- 1,38.528,-109.5123611
383151111521701, (C-26- 1)23ddb- 2,38.5308106,-111.8721349
383158109282401, (D-26-22)23bba- 1,38.53338889,-109.4744167
383201109295301, (D-26-22)21aL10- 1 formerly (D-26-22)16ddd- 3,38.53277778,-109.4995556
383210109275501, (D-26-22)14dcd- 1,38.53605556,-109.4653611
383215109285701, (D-26-22)15dca- 1,38.5378333,-109.4833889
383223109304701, (D-26-22)17dcb- 1 formerly (D-26-22)17dbc- 1,38.53969444,-109.5139444
383224109284701, (D-26-22)15daa- 2,38.54002778,-109.4806111
383232109310901, (D-26-22)17cab- 1,38.54238889,-109.5197222
383251109302901, (D-26-22)17aad- 3,38.5475,-109.5080278
383251109303001, (D-26-22)17aac- 2,38.54719444,-109.5084444
383253109310801, (D-26-22)17bac- 1,38.54844444,-109.5192778
383254109295701, (D-26-22)16aaa- 1,38.54819444,-109.4992778
383304109303501, (D-26-22) 8ddc- 1,38.5511111,-109.5096667
383308109312701, (D-26-22) 8ccc- 2,38.55225,-109.52425
383325109302601, (D-26-22) 8daa- 2,38.55705556,-109.5073333
383326109321201, (D-26-22) 7cab- 3,38.55727778,-109.5366944
383340109314301, (D-26-22) 7aca- 1,38.56116667,-109.5291389
383345109323101, (D-26-22) 7bbc- 1,38.5627222,-109.5420556
383345109323501, (D-26-21)12aad- 1,38.56252778,-109.5431389
383357113440601, (C-26-17) 3cdd- 1   Pine Valley MX Well-Large dia,38.57163889,-113.7419722
383359109315701, (D-26-22) 6dcc- 1,38.56627778,-109.5325278
383359109322501, (D-26-22) 6ccd- 2,38.5665,-109.54025
